step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_blue1,health_blue1,action_blue1,pos_blue2,health_blue2,action_blue2
74,[45.16317   79.757      5.7695184],20.0000,6.0000,[58.698433 37.82257   2.290899],20.0000,0.0000,[ 52.876907   -27.703688     0.15300995],20.0000,6.0000,[ 82.32225   -43.10815     6.0731072],20.0000,4.0000,[82.07487    44.395042    0.31292912],20.0000,4.0000
75,[46.151592  79.28752    6.0286026],20.0000,0.0000,[58.00004   38.66194    1.7470921],20.0000,0.0000,[ 53.967735  -27.615316    0.4061056],20.0000,0.0000,[ 82.88993   -43.22107     6.0736537],20.0000,4.0000,[82.62904    44.56228     0.31196687],20.0000,4.0000
76,[47.21352   79.03398    5.7613206],20.0000,6.0000,[57.69076   39.715584   1.2342253],20.0000,6.0000,[ 55.0152     -27.28805      0.10863286],20.0000,6.0000,[ 83.45759   -43.334064    6.0741606],20.0000,4.0000,[83.18318   44.729603   0.3110897],20.0000,4.0000
77,[48.19655   78.55379    5.8591576],20.0000,0.0000,[57.844612  40.81819    1.3106968],20.0000,6.0000,[ 56.10394    -27.20291      0.16732813],20.0000,6.0000,[ 84.02523  -43.447132   6.074632],20.0000,4.0000,[83.73729    44.897007    0.31028733],20.0000,4.0000
78,[49.214935  78.156746   5.5405064],20.0000,6.0000,[57.99381   41.90803    1.6194005],20.0000,0.0000,[ 57.188396   -27.069353     0.36998487],20.0000,6.0000,[ 84.59286   -43.56027     6.0750713],20.0000,4.0000,[84.29135    45.064495    0.30955115],20.0000,4.0000
79,[50.098537  77.50517    5.6316495],20.0000,6.0000,[57.888935 42.995777  1.392069],20.0000,6.0000,[ 58.240135  -26.762436    0.6169089],20.0000,6.0000,[ 85.16046   -43.673473    6.0754814],20.0000,4.0000,[84.84539    45.232063    0.30887374],20.0000,4.0000
80,[51.01112   76.901764   5.8783503],20.0000,0.0000,[57.993797  44.086052   1.5057359],20.0000,6.0000,[ 59.212227   -26.24621      0.86294127],20.0000,6.0000,[ 85.72805  -43.786743   6.075865],20.0000,4.0000,[85.39939    45.39971     0.30824882],20.0000,4.0000
81,[52.02334  76.4926    5.606574],20.0000,6.0000,[58.015884  45.178482   1.7489084],20.0000,0.0000,[ 60.05439   -25.530228    1.0865535],20.0000,0.0000,[ 86.29562  -43.900078   6.076224],20.0000,3.0000,[85.95337   45.567432   0.3076709],20.0000,3.0000
82,[52.9216    75.867874   5.7032914],20.0000,6.0000,[57.81928   46.25219    1.4693307],20.0000,6.0000,[ 60.7142    -24.643942    0.7329189],20.0000,6.0000,[ 86.86379  -44.010563   5.984802],20.0000,4.0000,[86.50642   45.738064   0.2153766],20.0000,4.0000
83,[53.857067  75.3039     5.9352975],20.0000,0.0000,[57.871113 47.34411   1.56256 ],20.0000,6.0000,[ 61.56251  -23.9548     0.743227],20.0000,6.0000,[ 87.42488  -44.15499    5.951557],20.0000,4.0000,[87.06878   45.87551    0.1812902],20.0000,4.0000
